NAME,,,,CODE,,,Digit Match Level,,,,Count
ALTERNATIVE MEDICINE - P'S,,,,9548000000,,,4 digit,,,,35
ALTERNATIVE MEDICINE - R'S,,,,9554000000,,,4 digit,,,,36
ALTERNATIVE MEDICINE - S'S,,,,9557000000,,,4 digit,,,,37
ALTERNATIVE MEDICINE - T'S,,,,9560000000,,,4 digit,,,,38
ALTERNATIVE MEDICINE - U,,,,9563000000,,,4 digit,,,,39
ALTERNATIVE MEDICINE - V'S,,,,9566000000,,,4 digit,,,,40
ALTERNATIVE MEDICINE - W'S,,,,9569000000,,,4 digit,,,,41
ALTERNATIVE MEDICINE - Y'S,,,,9575000000,,,4 digit,,,,42
ALTERNATIVE MEDICINE COMBINATIONS,,,,9599000000,,,4 digit,,,,43
AMEBICIDES,,,,1400000000,,,4 digit,,,,44
AMINOGLYCOSIDES,,,,700000000,,,4 digit,,,,45
AMINOPENICILLINS,,,,120000000,,,4 digit,,,,46
AMPHETAMINES,,,,6110000000,,,4 digit,,,,47
ANABOLIC STEROIDS,,,,2320000000,,,4 digit,,,,48
ANALEPTICS,,,,6130000000,,,4 digit,,,,49
NAME,,,,CODE,,,Digit Match Level,,,,Count
ANALGESIC COMBINATIONS,,,,6499000000,,,4 digit,,,,50
ANALGESICS - ANTI-INFLAMMATORY COMBINATIONS,,,,6699000000,,,4 digit,,,,51
ANALGESICS - TOPICAL,,,,9007000000,,,4 digit,,,,52
ANALGESICS OTHER,,,,6420000000,,,4 digit,,,,53
ANALGESICS-PEPTIDE CHANNEL BLOCKERS,,,,6415000000,,,4 digit,,,,54
ANAPHYLAXIS THERAPY AGENTS,,,,3890000000,,,4 digit,,,,55
ANDROGENS,,,,2310000000,,,4 digit,,,,56
ANESTHETICS - MISC.,,,,7040000000,,,4 digit,,,,57
ANESTHETICS TOPICAL ORAL,,,,8835000000,,,4 digit,,,,58
ANGIOTENSIN II RECEPTOR ANTAGONISTS,,,,3615000000,,,4 digit,,,,59
ANOREXIANTS NON-AMPHETAMINE,,,,6120000000,,,4 digit,,,,60
ANTACID COMBINATIONS,,,,4899000000,,,4 digit,,,,61
ANTACIDS - ALUMINUM SALTS,,,,4810000000,,,4 digit,,,,62
ANTACIDS - BICARBONATE,,,,4820000000,,,4 digit,,,,63
ANTACIDS - CALCIUM SALTS,,,,4830000000,,,4 digit,,,,64
ANTACIDS - MAGNESIUM SALTS,,,,4840000000,,,4 digit,,,,65
ANTACIDS - SODIUM CITRATE,,,,4850000000,,,4 digit,,,,66
ANTHELMINTICS,,,,1500000000,,,4 digit,,,,67
ANTI TB COMBINATIONS,,,,999000000,,,4 digit,,,,68
ANTI-CATAPLECTIC AGENTS,,,,6245000000,,,4 digit,,,,69
ANTI-INFECTIVE AGENTS - MISC.,,,,1600000000,,,4 digit,,,,70
ANTI-INFECTIVE MISC. - COMBINATIONS,,,,1699000000,,,4 digit,,,,71
ANTI-INFECTIVES - THROAT,,,,8810000000,,,4 digit,,,,72
ANTI-INFLAMMATORY AGENTS,,,,4415000000,,,4 digit,,,,73
ANTI-INFLAMMATORY AGENTS - TOPICAL,,,,9021000000,,,4 digit,,,,74
ANTI-OBESITY AGENTS,,,,6125000000,,,4 digit,,,,75
ANTI-TNF-ALPHA - MONOCLONOAL ANTIBODIES,,,,6627000000,,,4 digit,,,,76
ANTIADRENERGIC ANTIHYPERTENSIVES,,,,3620000000,,,4 digit,,,,77
ANTIALLERGY AGENTS - MOUTH/THROAT,,,,8827000000,,,4 digit,,,,78
NAME,,,,CODE,,,Digit Match Level,,,,Count
ANTIANGINALS-OTHER,,,,3220000000,,,4 digit,,,,79
ANTIANXIETY AGENT COMBINATIONS,,,,5799000000,,,4 digit,,,,80
ANTIANXIETY AGENTS - MISC.,,,,5720000000,,,4 digit,,,,81
ANTIARRHYTHMICS - MISC.,,,,3550000000,,,4 digit,,,,82
ANTIARRHYTHMICS TYPE I-A,,,,3510000000,,,4 digit,,,,83
ANTIARRHYTHMICS TYPE I-B,,,,3520000000,,,4 digit,,,,84
ANTIARRHYTHMICS TYPE I-C,,,,3530000000,,,4 digit,,,,85
ANTIARRHYTHMICS TYPE III,,,,3540000000,,,4 digit,,,,86
ANTIASTHMATIC - MONOCLONAL ANTIBODIES,,,,4460000000,,,4 digit,,,,87
ANTIBIOTICS - TOPICAL,,,,9010000000,,,4 digit,,,,88
ANTICONVULSANT COMBINATIONS,,,,7299000000,,,4 digit,,,,89
ANTICONVULSANTS - BENZODIAZEPINES,,,,7210000000,,,4 digit,,,,90
ANTICONVULSANTS - MISC.,,,,7260000000,,,4 digit,,,,91
ANTIDEMENTIA AGENTS,,,,6205000000,,,4 digit,,,,92
ANTIDEPRESSANT COMBINATIONS,,,,5899000000,,,4 digit,,,,93
ANTIDEPRESSANTS - MISC.,,,,5830000000,,,4 digit,,,,94
ANTIDIABETIC - AMYLIN ANALOGS,,,,2715000000,,,4 digit,,,,95
ANTIDIABETIC COMBINATIONS,,,,2799000000,,,4 digit,,,,96
ANTIDIARRHEAL AGENTS - MISC.,,,,4730000000,,,4 digit,,,,97
ANTIDIARRHEAL COMBINATIONS,,,,4799000000,,,4 digit,,,,98
ANTIDOTE COMBINATIONS AND KITS,,,,9399000000,,,4 digit,,,,99
ANTIDOTES,,,,9300000000,,,4 digit,,,,100
ANTIDOTES - CHELATING AGENTS,,,,9310000000,,,4 digit,,,,101
ANTIEMETICS - ANTICHOLINERGIC,,,,5020000000,,,4 digit,,,,102
ANTIEMETICS - MISCELLANEOUS,,,,5030000000,,,4 digit,,,,103
ANTIFLATULENTS,,,,5220000000,,,4 digit,,,,104
ANTIFUNGAL - GLUCAN SYNTHESIS INHIBITORS (ECHINOCANDINS),,,,1150000000,,,4 digit,,,,105
ANTIFUNGALS,,,,1100000000,,,4 digit,,,,106
ANTIFUNGALS - TOPICAL,,,,9015000000,,,4 digit,,,,107
NAME,,,,CODE,,,Digit Match Level,,,,Count
ANTIHEMOPHILIC PRODUCTS,,,,8510000000,,,4 digit,,,,108
ANTIHISTAMINE HYPNOTICS,,,,6030000000,,,4 digit,,,,109
ANTIHISTAMINES - ALKYLAMINES,,,,4110000000,,,4 digit,,,,110
ANTIHISTAMINES - COMBINATIONS,,,,4199000000,,,4 digit,,,,111
ANTIHISTAMINES - ETHANOLAMINES,,,,4120000000,,,4 digit,,,,112
ANTIHISTAMINES - ETHYLENEDIAMINES,,,,4130000000,,,4 digit,,,,113
ANTIHISTAMINES - NON-SEDATING,,,,4155000000,,,4 digit,,,,114
ANTIHISTAMINES - PHENOTHIAZINES,,,,4140000000,,,4 digit,,,,115
ANTIHISTAMINES - PIPERIDINES,,,,4150000000,,,4 digit,,,,116
ANTIHISTAMINES-TOPICAL,,,,9020000000,,,4 digit,,,,117
ANTIHYPERLIPIDEMICS - COMBINATIONS,,,,3999000000,,,4 digit,,,,118
ANTIHYPERLIPIDEMICS - MISC.,,,,3950000000,,,4 digit,,,,119
ANTIHYPERTENSIVE COMBINATIONS,,,,3699000000,,,4 digit,,,,120
ANTIHYPERTENSIVES - MISC.,,,,3660000000,,,4 digit,,,,121
ANTIMALARIAL COMBINATIONS,,,,1399000000,,,4 digit,,,,122
ANTIMALARIALS,,,,1300000000,,,4 digit,,,,123
ANTIMANIC AGENTS,,,,5950000000,,,4 digit,,,,124
ANTIMETABOLITES,,,,2130000000,,,4 digit,,,,125
ANTIMICROBIAL AGENTS,,,,9810000000,,,4 digit,,,,126
ANTIMYASTHENIC AGENTS,,,,7600000000,,,4 digit,,,,127
ANTIMYASTHENIC COMBINATIONS,,,,7699000000,,,4 digit,,,,128
ANTIMYCOBACTERIAL AGENTS,,,,900000000,,,4 digit,,,,129
ANTINEOPLASTIC - ANGIOGENESIS INHIBITORS,,,,2133000000,,,4 digit,,,,130
ANTINEOPLASTIC - ANTIBODIES,,,,2135000000,,,4 digit,,,,131
ANTINEOPLASTIC - CELLULAR IMMUNOTHERAPY,,,,2165000000,,,4 digit,,,,132
ANTINEOPLASTIC - HEDGEHOG PATHWAY INHIBITORS,,,,2137000000,,,4 digit,,,,133
ANTINEOPLASTIC - HORMONAL AND RELATED AGENTS,,,,2140000000,,,4 digit,,,,134
ANTINEOPLASTIC - IMMUNOMODULATORS,,,,2145000000,,,4 digit,,,,135
ANTINEOPLASTIC ANTIBIOTICS,,,,2120000000,,,4 digit,,,,136
NAME,,,,CODE,,,Digit Match Level,,,,Count
ANTINEOPLASTIC COMBINATIONS,,,,2199000000,,,4 digit,,,,137
ANTINEOPLASTIC ENZYME INHIBITORS,,,,2153000000,,,4 digit,,,,138
ANTINEOPLASTIC ENZYMES,,,,2125000000,,,4 digit,,,,139
ANTINEOPLASTIC OR PREMALIGNANT LESION AGENTS - TOPICAL,,,,9037000000,,,4 digit,,,,140
ANTINEOPLASTIC RADIOPHARMACEUTICALS,,,,2160000000,,,4 digit,,,,141
ANTINEOPLASTICS MISC.,,,,2170000000,,,4 digit,,,,142
ANTIPARKINSON ADJUVANTS,,,,7340000000,,,4 digit,,,,143
ANTIPARKINSON ANTICHOLINERGICS,,,,7310000000,,,4 digit,,,,144
ANTIPARKINSON COMT INHIBITORS,,,,7315000000,,,4 digit,,,,145
ANTIPARKINSON DOPAMINERGICS,,,,7320000000,,,4 digit,,,,146
ANTIPARKINSON MONOAMINE OXIDASE INHIBITORS,,,,7330000000,,,4 digit,,,,147
ANTIPERISTALTIC AGENTS,,,,4710000000,,,4 digit,,,,148
ANTIPROTOZOAL AGENTS,,,,1640000000,,,4 digit,,,,149
ANTIPRURITICS - TOPICAL,,,,9022000000,,,4 digit,,,,150
ANTIPSORIATICS,,,,9025000000,,,4 digit,,,,151
ANTIPSYCHOTICS - MISC.,,,,5940000000,,,4 digit,,,,152
ANTIRETROVIRALS,,,,1210000000,,,4 digit,,,,153
ANTIRHEUMATIC ANTIMETABOLITES,,,,6625000000,,,4 digit,,,,154
ANTISEBORRHEIC PRODUCTS,,,,9030000000,,,4 digit,,,,155
ANTISEPTIC COMBINATIONS,,,,9299000000,,,4 digit,,,,156
ANTISEPTICS & DISINFECTANTS,,,,9200000000,,,4 digit,,,,157
ANTISEPTICS - MOUTH/THROAT,,,,8815000000,,,4 digit,,,,158
ANTISPASMODICS,,,,4910000000,,,4 digit,,,,159
ANTITHYROID AGENTS,,,,2830000000,,,4 digit,,,,160
ANTITOXINS-ANTIVENINS,,,,1920000000,,,4 digit,,,,161
ANTITUSSIVES,,,,4310000000,,,4 digit,,,,162
ANTIVIRAL COMBINATIONS,,,,1299000000,,,4 digit,,,,163
ANTIVIRALS - TOPICAL,,,,9035000000,,,4 digit,,,,164
ARTICULAR CARTILAGE REPAIR THERAPY,,,,7584000000,,,4 digit,,,,165
NAME,,,,CODE,,,Digit Match Level,,,,Count
ARTIFICIAL TEARS AND LUBRICANTS,,,,8620000000,,,4 digit,,,,166
ASSORTED CLASSES,,,,9900000000,,,4 digit,,,,167
ASTHMA AND BRONCHODILATOR AGENT COMBINATIONS,,,,4499000000,,,4 digit,,,,168
ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD) AGENTS,,,,6135000000,,,4 digit,,,,169
AUDITORY SUPPLIES,,,,9757000000,,,4 digit,,,,170
AZITHROMYCIN,,,,340000000,,,4 digit,,,,171
B-COMPLEX VITAMINS,,,,7811000000,,,4 digit,,,,172
B-COMPLEX W/ C,,,,7812000000,,,4 digit,,,,173
B-COMPLEX W/ FOLIC ACID,,,,7813000000,,,4 digit,,,,174
B-COMPLEX W/ IRON,,,,7814000000,,,4 digit,,,,175
B-COMPLEX W/ MINERALS,,,,7815000000,,,4 digit,,,,176
BACK PLASTERS,,,,9739000000,,,4 digit,,,,177
BACTERIAL VACCINES,,,,1720000000,,,4 digit,,,,178
BANDAGES-DRESSINGS-TAPE,,,,9730000000,,,4 digit,,,,179
BARBITURATE ANESTHETICS,,,,7010000000,,,4 digit,,,,180
BARBITURATE HYPNOTICS,,,,6010000000,,,4 digit,,,,181
BATH PRODUCTS,,,,9040000000,,,4 digit,,,,182
BENZISOXAZOLES,,,,5907000000,,,4 digit,,,,183
BENZODIAZEPINE ANTAGONISTS,,,,9320000000,,,4 digit,,,,184
BENZODIAZEPINES,,,,5710000000,,,4 digit,,,,185
BETA BLOCKER COMBINATIONS,,,,3399000000,,,4 digit,,,,186
BETA BLOCKERS CARDIO-SELECTIVE,,,,3320000000,,,4 digit,,,,187
BETA BLOCKERS NON-SELECTIVE,,,,3310000000,,,4 digit,,,,188
BETA-BLOCKERS - OPHTHALMIC,,,,8625000000,,,4 digit,,,,189
BICARBONATES,,,,7905000000,,,4 digit,,,,190
BIGUANIDES,,,,2725000000,,,4 digit,,,,191
BILE ACID SEQUESTRANTS,,,,3910000000,,,4 digit,,,,192
BIOFLAVONOID PRODUCTS,,,,7816000000,,,4 digit,,,,193
BIOLOGICALS MISC,,,,2000000000,,,4 digit,,,,194
NAME,,,,CODE,,,Digit Match Level,,,,Count
BLOOD MONITORING SUPPLIES,,,,9722000000,,,4 digit,,,,195
BLOOD PRESSURE DEVICES,,,,9775000000,,,4 digit,,,,196
BONE DENSITY REGULATORS,,,,3004000000,,,4 digit,,,,197
BRADYKININ B2 RECEPTOR ANTAGONISTS,,,,8582000000,,,4 digit,,,,198
BRONCHODILATORS - ANTICHOLINERGICS,,,,4410000000,,,4 digit,,,,199
BULK CHEMICALS,,,,9690000000,,,4 digit,,,,200
BULK CHEMICALS - A'S,,,,9642000000,,,4 digit,,,,201
BULK CHEMICALS - B'S,,,,9644000000,,,4 digit,,,,202
BULK CHEMICALS - C'S,,,,9646000000,,,4 digit,,,,203
BULK CHEMICALS - D'S,,,,9648000000,,,4 digit,,,,204
BULK CHEMICALS - E'S,,,,9650000000,,,4 digit,,,,205
BULK CHEMICALS - F'S,,,,9652000000,,,4 digit,,,,206
BULK CHEMICALS - G'S,,,,9654000000,,,4 digit,,,,207
BULK CHEMICALS - H'S,,,,9656000000,,,4 digit,,,,208
BULK CHEMICALS - I'S,,,,9658000000,,,4 digit,,,,209
BULK CHEMICALS - J'S,,,,9660000000,,,4 digit,,,,210
BULK CHEMICALS - K'S,,,,9662000000,,,4 digit,,,,211
BULK CHEMICALS - L'S,,,,9664000000,,,4 digit,,,,212
BULK CHEMICALS - M'S,,,,9666000000,,,4 digit,,,,213
BULK CHEMICALS - N'S,,,,9668000000,,,4 digit,,,,214
BULK CHEMICALS - O'S,,,,9670000000,,,4 digit,,,,215
BULK CHEMICALS - P'S,,,,9672000000,,,4 digit,,,,216
BULK CHEMICALS - Q'S,,,,9674000000,,,4 digit,,,,217
BULK CHEMICALS - R'S,,,,9676000000,,,4 digit,,,,218
BULK CHEMICALS - S'S,,,,9678000000,,,4 digit,,,,219
BULK CHEMICALS - T'S,,,,9680000000,,,4 digit,,,,220
BULK CHEMICALS - U'S,,,,9682000000,,,4 digit,,,,221
BULK CHEMICALS - V'S,,,,9684000000,,,4 digit,,,,222
BULK CHEMICALS - W'S,,,,9686000000,,,4 digit,,,,223
NAME,,,,CODE,,,Digit Match Level,,,,Count
BULK CHEMICALS - X,,,,9687000000,,,4 digit,,,,224
BULK CHEMICALS - Y'S,,,,9688000000,,,4 digit,,,,225
BULK CHEMICALS - Z'S,,,,9689000000,,,4 digit,,,,226
BULK LAXATIVES,,,,4630000000,,,4 digit,,,,227
BURN PRODUCTS,,,,9045000000,,,4 digit,,,,228
BUTYROPHENONES,,,,5910000000,,,4 digit,,,,229
CALCIUM,,,,7910000000,,,4 digit,,,,230
CALCIUM CHANNEL BLOCKER COMBINATIONS,,,,3499000000,,,4 digit,,,,231
CALCIUM CHANNEL BLOCKERS,,,,3400000000,,,4 digit,,,,232
CARBAMATES,,,,7212000000,,,4 digit,,,,233
CARBAPENEMS,,,,1615000000,,,4 digit,,,,234
CARBOHYDRATES,,,,8010000000,,,4 digit,,,,235
CARBONIC ANHYDRASE INHIBITORS,,,,3710000000,,,4 digit,,,,236
CARDIAC GLYCOSIDES,,,,3120000000,,,4 digit,,,,237
CARDIOLOGY SUPPLIES,,,,9708000000,,,4 digit,,,,238
CARDIOPLEGIC SOLUTIONS,,,,4020000000,,,4 digit,,,,239
CARDIOVASCULAR AGENTS MISC. - COMBINATIONS,,,,4099000000,,,4 digit,,,,240
CAUTERIZING AGENTS,,,,9050000000,,,4 digit,,,,241
CENTRAL MUSCLE RELAXANTS,,,,7510000000,,,4 digit,,,,242
CEPHALOSPORINS - 1ST GENERATION,,,,210000000,,,4 digit,,,,243
CEPHALOSPORINS - 2ND GENERATION,,,,220000000,,,4 digit,,,,244
CEPHALOSPORINS - 3RD GENERATION,,,,230000000,,,4 digit,,,,245
CEPHALOSPORINS - 4TH GENERATION,,,,240000000,,,4 digit,,,,246
CEPHALOSPORINS - 5TH GENERATION,,,,250000000,,,4 digit,,,,247
CHELATING AGENTS,,,,9920000000,,,4 digit,,,,248
CHEMOTHERAPY ADJUNCTS,,,,2176000000,,,4 digit,,,,249
CHEMOTHERAPY RESCUE/ANTIDOTE AGENTS,,,,2175000000,,,4 digit,,,,250
CHLORAMPHENICOLS,,,,1620000000,,,4 digit,,,,251
CHLORIDE,,,,7920000000,,,4 digit,,,,252
NAME,,,,CODE,,,Digit Match Level,,,,Count
CHLORINE ANTISEPTICS,,,,9210000000,,,4 digit,,,,253
CLARITHROMYCIN,,,,350000000,,,4 digit,,,,254
CMV AGENTS,,,,1220000000,,,4 digit,,,,255
COBALAMINS,,,,8210000000,,,4 digit,,,,256
COLORING AGENTS,,,,9830000000,,,4 digit,,,,257
COMBINATION CONTRACEPTIVES - ORAL,,,,2599000000,,,4 digit,,,,258
COMBINATION CONTRACEPTIVES - TRANSDERMAL,,,,2596000000,,,4 digit,,,,259
COMBINATION CONTRACEPTIVES - VAGINAL,,,,2597000000,,,4 digit,,,,260
COMBINATION PSYCHOTHERAPEUTICS,,,,6299000000,,,4 digit,,,,261
COMPLEMENT INHIBITORS,,,,8580000000,,,4 digit,,,,262
CONCEPTION ASSISTANCE SUPPLIES,,,,9742000000,,,4 digit,,,,263
CONTACT LENS SOLUTIONS,,,,8690000000,,,4 digit,,,,264
CONTINUOUS RENAL REPLACEMENT THERAPY (CRRT) SOLUTIONS,,,,9972000000,,,4 digit,,,,265
CONTRACEPTIVES,,,,9740000000,,,4 digit,,,,266
CORTICOSTEROIDS - TOPICAL,,,,9055000000,,,4 digit,,,,267
